# onion skin A3d strip probe
# comp	1920	1080
ms	pw	ph	x0	x1	y0	y1	span_w	span_h	zoom_x	zoom_y	axis_diff_pct	cost_ms	status	win_ok	wx0	wy0	dx	dy	win_cost_ms
12604.3	1592	734	578	1312	178	590	735	413	0.382812	0.382407	0.106	12.3390	ok	0	0	0	-9999	-9999	0.0000
12636.0	1592	734	578	1312	178	590	735	413	0.382812	0.382407	0.106	14.3727	ok	0	0	0	-9999	-9999	0.0000
12668.4	1592	734	578	1312	178	590	735	413	0.382812	0.382407	0.106	14.7981	ok	0	0	0	-9999	-9999	0.0000
12700.0	1592	734	578	1312	178	590	735	413	0.382812	0.382407	0.106	16.5354	ok	0	0	0	-9999	-9999	0.0000
12747.2	1592	734	578	1312	178	590	735	413	0.382812	0.382407	0.106	19.2908	ok	0	0	0	-9999	-9999	0.0000
12793.8	1592	734	578	1312	178	590	735	413	0.382812	0.382407	0.106	22.8894	ok	0	0	0	-9999	-9999	0.0000
12840.1	1592	734	578	1312	178	590	735	413	0.382812	0.382407	0.106	26.9848	ok	0	0	0	-9999	-9999	0.0000
12886.6	1592	734	578	1312	178	590	735	413	0.382812	0.382407	0.106	13.4212	ok	0	0	0	-9999	-9999	0.0000
12917.8	1592	734	578	1312	178	590	735	413	0.382812	0.382407	0.106	16.9081	ok	0	0	0	-9999	-9999	0.0000
12964.4	1592	734	578	1312	178	590	735	413	0.382812	0.382407	0.106	18.7869	ok	0	0	0	-9999	-9999	0.0000
13010.0	1592	734	578	1312	178	590	735	413	0.382812	0.382407	0.106	23.2921	ok	0	0	0	-9999	-9999	0.0000
13057.2	1592	734	578	1312	178	590	735	413	0.382812	0.382407	0.106	26.5161	ok	0	0	0	-9999	-9999	0.0000
13103.5	1592	734	578	1312	178	590	735	413	0.382812	0.382407	0.106	13.0327	ok	0	0	0	-9999	-9999	0.0000
13135.7	1592	734	578	1312	178	590	735	413	0.382812	0.382407	0.106	13.9724	ok	0	0	0	-9999	-9999	0.0000
13166.7	1592	734	578	1312	178	590	735	413	0.382812	0.382407	0.106	16.9214	ok	0	0	0	-9999	-9999	0.0000
13213.8	1592	734	578	1312	178	590	735	413	0.382812	0.382407	0.106	19.4249	ok	0	0	0	-9999	-9999	0.0000
13260.3	1592	734	578	1312	178	590	735	413	0.382812	0.382407	0.106	22.7786	ok	0	0	0	-9999	-9999	0.0000
13307.5	1592	734	578	1312	178	590	735	413	0.382812	0.382407	0.106	26.5627	ok	0	0	0	-9999	-9999	0.0000
13354.5	1592	734	578	1312	178	590	735	413	0.382812	0.382407	0.106	15.1708	ok	0	0	0	-9999	-9999	0.0000
13386.1	1592	734	151	1440	4	728	1290	725	0.671875	0.671296	0.086	15.6752	ok	0	0	0	-9999	-9999	0.0000
13432.5	1592	734	151	1440	4	728	1290	725	0.671875	0.671296	0.086	19.3347	ok	0	0	0	-9999	-9999	0.0000
13479.3	1592	734	151	1440	4	728	1290	725	0.671875	0.671296	0.086	20.9457	ok	0	0	0	-9999	-9999	0.0000
13525.7	1592	734	151	1440	4	728	1290	725	0.671875	0.671296	0.086	23.8678	ok	0	0	0	-9999	-9999	0.0000
13572.5	1592	734	151	1440	4	728	1290	725	0.671875	0.671296	0.086	10.5821	ok	0	0	0	-9999	-9999	0.0000
13603.3	1592	734	151	1440	4	728	1290	725	0.671875	0.671296	0.086	13.2869	ok	0	0	0	-9999	-9999	0.0000
13634.7	1592	734	151	1440	4	728	1290	725	0.671875	0.671296	0.086	15.0441	ok	0	0	0	-9999	-9999	0.0000
13667.0	1592	734	151	1440	4	728	1290	725	0.671875	0.671296	0.086	16.3299	ok	0	0	0	-9999	-9999	0.0000
13714.3	1592	734	151	1440	4	728	1290	725	0.671875	0.671296	0.086	18.7246	ok	0	0	0	-9999	-9999	0.0000
13760.6	1592	734	151	1440	4	728	1290	725	0.671875	0.671296	0.086	22.8853	ok	0	0	0	-9999	-9999	0.0000
13808.7	1592	734	151	1440	4	728	1290	725	0.671875	0.671296	0.086	24.5688	ok	0	0	0	-9999	-9999	0.0000
13855.2	1592	734	151	1440	4	728	1290	725	0.671875	0.671296	0.086	10.9008	ok	0	0	0	-9999	-9999	0.0000
13886.0	1592	734	151	1440	4	728	1290	725	0.671875	0.671296	0.086	13.7429	ok	0	0	0	-9999	-9999	0.0000
13917.9	1592	734	151	1440	4	728	1290	725	0.671875	0.671296	0.086	15.3643	ok	0	0	0	-9999	-9999	0.0000
13949.8	1592	734	151	1440	4	728	1290	725	0.671875	0.671296	0.086	19.9791	ok	0	0	0	-9999	-9999	0.0000
13996.9	1592	734	151	1440	4	728	1290	725	0.671875	0.671296	0.086	22.0377	ok	0	0	0	-9999	-9999	0.0000
14043.3	1592	734	151	1440	4	728	1290	725	0.671875	0.671296	0.086	24.8433	ok	0	0	0	-9999	-9999	0.0000
14090.7	1592	734	151	1440	4	728	1290	725	0.671875	0.671296	0.086	27.5847	ok	0	0	0	-9999	-9999	0.0000
14137.9	1592	734	151	1440	4	728	1290	725	0.671875	0.671296	0.086	14.8724	ok	0	0	0	-9999	-9999	0.0000
14184.2	1592	734	424	1263	186	657	840	472	0.437500	0.437037	0.106	18.3989	ok	0	0	0	-9999	-9999	0.0000
14229.4	1592	734	488	1222	229	641	735	413	0.382812	0.382407	0.106	22.2018	ok	0	0	0	-9999	-9999	0.0000
14276.8	1592	734	488	1222	229	641	735	413	0.382812	0.382407	0.106	25.1726	ok	0	0	0	-9999	-9999	0.0000
14324.5	1592	734	488	1222	229	641	735	413	0.382812	0.382407	0.106	27.3268	ok	0	0	0	-9999	-9999	0.0000
14370.6	1592	734	488	1222	229	641	735	413	0.382812	0.382407	0.106	14.3857	ok	0	0	0	-9999	-9999	0.0000
14402.3	1592	734	488	1222	229	641	735	413	0.382812	0.382407	0.106	16.7589	ok	0	0	0	-9999	-9999	0.0000
14449.8	1592	734	488	1222	229	641	735	413	0.382812	0.382407	0.106	20.2604	ok	0	0	0	-9999	-9999	0.0000
14496.0	1592	734	480	1214	226	638	735	413	0.382812	0.382407	0.106	22.8096	ok	0	0	0	-9999	-9999	0.0000
14543.4	1592	734	444	1178	217	629	735	413	0.382812	0.382407	0.106	25.8301	ok	0	0	0	-9999	-9999	0.0000
14590.6	1592	734	368	1102	203	615	735	413	0.382812	0.382407	0.106	28.5832	ok	0	0	0	-9999	-9999	0.0000
14636.8	1592	734	309	1043	191	603	735	413	0.382812	0.382407	0.106	15.4098	ok	0	0	0	-9999	-9999	0.0000
14668.4	1592	734	275	1009	180	592	735	413	0.382812	0.382407	0.106	17.4770	ok	0	0	0	-9999	-9999	0.0000
14715.8	1592	734	269	1003	169	581	735	413	0.382812	0.382407	0.106	19.8345	ok	0	0	0	-9999	-9999	0.0000
14762.5	1592	734	266	1000	160	572	735	413	0.382812	0.382407	0.106	21.0279	ok	0	0	0	-9999	-9999	0.0000
14809.3	1592	734	246	980	151	563	735	413	0.382812	0.382407	0.106	24.4238	ok	0	0	0	-9999	-9999	0.0000
14855.8	1592	734	239	973	148	562	735	415	0.382812	0.384259	0.377	11.1357	ok	0	0	0	-9999	-9999	0.0000
14886.9	1592	734	236	970	148	562	735	415	0.382812	0.384259	0.377	12.9465	ok	0	0	0	-9999	-9999	0.0000
14917.5	1592	734	236	970	148	562	735	415	0.382812	0.384259	0.377	15.5889	ok	0	0	0	-9999	-9999	0.0000
14949.8	1592	734	236	970	148	562	735	415	0.382812	0.384259	0.377	17.8093	ok	0	0	0	-9999	-9999	0.0000
14995.8	1592	734	186	1011	112	576	826	465	0.430208	0.430556	0.081	21.8729	ok	0	0	0	-9999	-9999	0.0000
15044.4	1592	734	114	1073	60	599	960	540	0.500000	0.500000	0.000	22.7899	ok	0	0	0	-9999	-9999	0.0000
15091.6	1592	734	49	1128	12	618	1080	607	0.562500	0.562037	0.082	24.8677	ok	0	0	0	-9999	-9999	0.0000
15139.8	1592	734	49	1128	12	618	1080	607	0.562500	0.562037	0.082	26.8266	ok	0	0	0	-9999	-9999	0.0000
15185.8	1592	734	49	1128	12	618	1080	607	0.562500	0.562037	0.082	14.3605	ok	0	0	0	-9999	-9999	0.0000
15217.8	1592	734	49	1128	12	618	1080	607	0.562500	0.562037	0.082	15.3438	ok	0	0	0	-9999	-9999	0.0000
15249.5	1592	734	49	1128	12	618	1080	607	0.562500	0.562037	0.082	17.3891	ok	0	0	0	-9999	-9999	0.0000
15295.2	1592	734	49	1128	12	618	1080	607	0.562500	0.562037	0.082	22.3637	ok	0	0	0	-9999	-9999	0.0000
