# onion skin A3e capture stream (dedicated thread)
# comp	1920	1080
t_ms	pw	ph	sx	sy	tx	ty	axis_diff_pct	cost_ms	status
59407.073	1592	729	0.333333	0.333333	307.00	273.00	0.000	16.3214	ok
59423.683	1592	729	0.333333	0.333333	307.00	273.00	0.000	16.8797	ok
59440.483	1592	729	0.333333	0.333333	307.00	273.00	0.000	16.7036	ok
59456.842	1592	729	0.333333	0.333333	307.00	273.00	0.000	15.9947	ok
59474.164	1592	729	0.333333	0.333333	307.00	273.00	0.000	18.6167	ok
59491.034	1592	729	0.333333	0.333333	307.00	273.00	0.000	15.1107	ok
59506.953	1592	729	0.333333	0.333333	307.00	273.00	0.000	16.7078	ok
59524.004	1592	729	0.333333	0.333333	307.00	273.00	0.000	17.3745	ok
59540.866	1592	729	0.333333	0.333333	307.00	273.00	0.000	16.3302	ok
59556.969	1592	729	0.333333	0.333333	307.00	273.00	0.000	15.8563	ok
59573.501	1592	729	0.333333	0.333333	307.00	273.00	0.000	17.1895	ok
59591.352	1592	729	0.333333	0.333333	307.00	273.00	0.000	18.4933	ok
59608.086	1592	729	0.333333	0.333333	307.00	273.00	0.000	14.9551	ok
59623.883	1592	729	0.333333	0.333333	307.00	273.00	0.000	16.6194	ok
59640.596	1592	729	0.333333	0.333333	307.00	273.00	0.000	16.7880	ok
59657.173	1592	729	0.333333	0.333333	307.00	273.00	0.000	16.3470	ok
59673.895	1592	729	0.333333	0.333333	307.00	273.00	0.000	17.0794	ok
59690.493	1592	729	0.333333	0.333333	307.00	273.00	0.000	16.0983	ok
59707.422	1592	729	0.333333	0.333333	307.00	273.00	0.000	17.7412	ok
59724.304	1592	729	0.333333	0.333333	307.00	273.00	0.000	16.0046	ok
59740.440	1592	729	0.333333	0.333333	307.00	273.00	0.000	16.2476	ok
59757.420	1592	729	0.333333	0.333333	307.00	273.00	0.000	17.6918	ok
59774.943	1592	729	0.333333	0.333333	300.00	273.00	0.000	17.3339	ok
59791.782	1592	729	0.333333	0.333333	297.00	273.00	0.000	16.3253	ok
59808.436	1592	729	0.333333	0.333333	294.00	273.00	0.000	16.9643	ok
59825.581	1592	729	0.333333	0.333333	289.00	273.00	0.000	17.3072	ok
59841.949	1592	729	0.333333	0.333333	279.00	273.00	0.000	15.4085	ok
59858.644	1592	729	0.333333	0.333333	267.00	273.00	0.000	17.9624	ok
59875.128	1592	729	0.333333	0.333333	253.00	272.00	0.000	14.9876	ok
59891.654	1592	729	0.333333	0.333333	240.00	268.00	0.000	18.0435	ok
59908.065	1592	729	0.333333	0.333333	224.00	263.00	0.000	14.7582	ok
59923.943	1592	729	0.333333	0.339815	0.00	0.00	1.907	16.9799	axis_disagree
59940.870	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.8558	no_edge
59957.856	1592	729	0.000000	0.000000	0.00	0.00	0.000	17.0911	no_edge
59975.433	1592	729	0.000000	0.000000	0.00	0.00	0.000	18.0410	no_edge
59992.137	1592	729	0.000000	0.000000	0.00	0.00	0.000	15.3491	no_edge
60007.969	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.2954	no_edge
60024.736	1592	729	0.000000	0.000000	0.00	0.00	0.000	17.2219	no_edge
60041.715	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.7190	no_edge
60057.925	1592	729	0.000000	0.000000	0.00	0.00	0.000	15.6835	no_edge
60073.983	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.4145	no_edge
60091.419	1592	729	0.000000	0.000000	0.00	0.00	0.000	18.4406	no_edge
60108.210	1592	729	0.000000	0.000000	0.00	0.00	0.000	15.1296	no_edge
60124.385	1592	729	0.000000	0.000000	0.00	0.00	0.000	17.2041	no_edge
60141.301	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.5939	no_edge
60157.897	1592	729	0.333333	0.333333	227.00	131.00	0.000	16.5846	ok
60174.179	1592	729	0.333333	0.333333	263.00	125.00	0.000	15.9602	ok
60190.911	1592	729	0.333333	0.333333	299.00	123.00	0.000	17.4874	ok
60207.987	1592	729	0.333333	0.333333	299.00	123.00	0.000	16.6420	ok
60224.887	1592	729	0.333333	0.333333	377.00	122.00	0.000	17.1383	ok
60241.707	1592	729	0.333333	0.333333	436.00	122.00	0.000	16.4807	ok
60258.183	1592	729	0.333333	0.333333	458.00	122.00	0.000	16.4526	ok
60274.357	1592	729	0.333333	0.333333	489.00	122.00	0.000	15.8774	ok
60291.589	1592	729	0.333333	0.333333	524.00	122.00	0.000	18.5657	ok
60308.124	1592	729	0.333333	0.333333	553.00	122.00	0.000	14.3758	ok
60324.012	1592	729	0.333333	0.333333	579.00	122.00	0.000	17.3801	ok
60341.354	1592	729	0.333333	0.333333	605.00	127.00	0.000	17.2843	ok
60357.897	1592	729	0.333333	0.333333	628.00	130.00	0.000	15.7824	ok
60373.922	1592	729	0.333333	0.333333	645.00	133.00	0.000	16.2458	ok
60391.131	1592	729	0.333333	0.333333	665.00	140.00	0.000	18.1538	ok
60408.108	1592	729	0.333333	0.333333	679.00	146.00	0.000	15.7900	ok
60424.035	1592	729	0.333333	0.333333	691.00	152.00	0.000	16.0443	ok
60440.405	1592	729	0.333333	0.333333	700.00	159.00	0.000	16.6825	ok
60457.271	1592	729	0.333333	0.333333	710.00	166.00	0.000	16.9951	ok
60474.612	1592	729	0.333333	0.333333	716.00	174.00	0.000	17.6678	ok
60491.158	1592	729	0.333333	0.333333	719.00	182.00	0.000	15.4032	ok
60507.622	1592	729	0.333333	0.333333	721.00	188.00	0.000	17.5062	ok
60524.444	1592	729	0.333333	0.333333	723.00	191.00	0.000	16.1180	ok
60541.213	1592	729	0.333333	0.333333	723.00	195.00	0.000	17.4017	ok
60557.875	1592	729	0.333333	0.333333	723.00	199.00	0.000	15.9013	ok
60574.848	1592	729	0.333333	0.333333	723.00	205.00	0.000	18.0225	ok
60591.739	1592	729	0.333333	0.333333	723.00	212.00	0.000	15.7341	ok
60607.890	1592	729	0.336979	0.333333	0.00	0.00	1.094	16.5483	axis_disagree
60624.252	1592	729	0.333333	0.333333	715.00	230.00	0.000	16.1562	ok
60641.501	1592	729	0.333333	0.333333	710.00	241.00	0.000	18.3261	ok
60658.270	1592	729	0.333333	0.333333	703.00	251.00	0.000	15.1936	ok
60674.277	1592	729	0.333333	0.333333	696.00	260.00	0.000	16.8025	ok
60691.209	1592	729	0.333333	0.333333	686.00	271.00	0.000	17.0436	ok
60708.573	1592	729	0.333333	0.333333	676.00	280.00	0.000	17.6643	ok
60725.020	1592	729	0.333333	0.333333	663.00	291.00	0.000	15.2058	ok
60740.922	1592	729	0.333333	0.333333	648.00	298.00	0.000	16.5705	ok
60757.457	1592	729	0.333333	0.333333	633.00	306.00	0.000	16.4790	ok
60774.238	1592	729	0.333333	0.333333	616.00	312.00	0.000	17.0653	ok
60790.724	1592	729	0.333333	0.333333	597.00	318.00	0.000	15.8873	ok
60807.086	1592	729	0.333333	0.333333	577.00	322.00	0.000	16.8155	ok
60824.079	1592	729	0.333333	0.333333	553.00	326.00	0.000	17.1512	ok
60840.964	1592	729	0.333333	0.339815	0.00	0.00	1.907	16.5991	axis_disagree
60857.563	1592	729	0.333333	0.333333	505.00	330.00	0.000	16.5812	ok
60873.837	1592	729	0.333333	0.333333	483.00	330.00	0.000	15.9474	ok
60890.502	1592	729	0.333333	0.333333	457.00	330.00	0.000	17.3632	ok
60907.465	1592	729	0.333333	0.333333	429.00	330.00	0.000	16.5356	ok
60924.087	1592	729	0.333333	0.333333	403.00	330.00	0.000	16.6872	ok
60940.738	1592	729	0.333333	0.333333	378.00	330.00	0.000	16.5975	ok
60957.630	1592	729	0.333333	0.333333	351.00	330.00	0.000	17.1517	ok
60975.490	1592	729	0.333333	0.333333	325.00	327.00	0.000	18.5546	ok
60991.883	1592	729	0.333333	0.333333	302.00	321.00	0.000	14.2118	ok
61007.211	1592	729	0.333333	0.333333	280.00	315.00	0.000	16.4253	ok
61024.516	1592	729	0.333333	0.333333	261.00	308.00	0.000	18.1687	ok
61041.699	1592	729	0.333333	0.333333	243.00	300.00	0.000	16.1769	ok
61057.626	1592	729	0.333333	0.333333	243.00	300.00	0.000	15.6568	ok
61075.001	1592	729	0.333333	0.339815	0.00	0.00	1.907	19.0745	axis_disagree
61092.319	1592	729	0.000000	0.000000	0.00	0.00	0.000	15.5416	no_edge
61107.673	1592	729	0.000000	0.000000	0.00	0.00	0.000	15.1497	no_edge
61124.181	1592	729	0.000000	0.000000	0.00	0.00	0.000	17.8503	no_edge
61141.196	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.1606	no_edge
61157.657	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.7456	no_edge
61174.881	1592	729	0.000000	0.000000	0.00	0.00	0.000	17.6843	no_edge
61191.608	1592	729	0.000000	0.000000	0.00	0.00	0.000	15.7519	no_edge
61207.893	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.8011	no_edge
61224.647	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.6932	no_edge
61241.296	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.5902	no_edge
61257.724	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.2501	no_edge
61274.337	1592	729	0.000000	0.000000	0.00	0.00	0.000	16.9593	no_edge
61291.853	1592	729	0.000000	0.000000	0.00	0.00	0.000	18.0528	no_edge
61308.108	1592	729	0.000000	0.000000	0.00	0.00	0.000	14.3281	no_edge
61323.891	1592	729	0.000000	0.000000	0.00	0.00	0.000	17.2219	no_edge
61341.282	1592	729	0.333333	0.339815	0.00	0.00	1.907	17.5424	axis_disagree
61358.356	1592	729	0.333333	0.333333	227.00	120.00	0.000	16.5876	ok
61374.890	1592	729	0.333333	0.333333	249.00	111.00	0.000	16.4566	ok
61391.533	1592	729	0.333333	0.333333	271.00	104.00	0.000	16.8111	ok
61407.980	1592	729	0.333333	0.333333	294.00	99.00	0.000	16.0702	ok
61424.005	1592	729	0.333333	0.333333	319.00	94.00	0.000	15.9582	ok
61440.887	1592	729	0.333333	0.333333	344.00	89.00	0.000	17.7695	ok
61457.667	1592	729	0.333333	0.333333	369.00	87.00	0.000	15.7701	ok
61474.061	1592	729	0.333333	0.333333	394.00	87.00	0.000	16.9910	ok
61491.920	1592	729	0.333333	0.333333	417.00	87.00	0.000	18.6979	ok
