frame	probe_ms	comp_l	green_l	slip	status
1220	11372.3	588	590	2	ok
1221	11389.0	588	590	2	ok
1222	11405.7	588	590	2	ok
1223	11422.3	588	590	2	ok
1224	11439.0	588	590	2	ok
1225	11455.7	588	590	2	ok
1226	11472.3	588	590	2	ok
1227	11489.0	588	590	2	ok
1228	11505.7	588	590	2	ok
1229	11522.3	588	590	2	ok
1230	11539.0	588	590	2	ok
1231	11555.7	588	590	2	ok
1232	11572.3	588	590	2	ok
1233	11589.0	588	590	2	ok
1234	11605.7	588	590	2	ok
1235	11622.3	588	590	2	ok
1236	11639.0	588	590	2	ok
1237	11655.7	588	590	2	ok
1238	11672.3	588	590	2	ok
1239	11689.0	588	590	2	ok
1240	11705.7	588	590	2	ok
1241	11722.3	588	590	2	ok
1242	11739.0	588	590	2	ok
1243	11755.7	588	590	2	ok
1244	11772.3	588	590	2	ok
1245	11789.0	588	590	2	ok
1246	11805.7	588	590	2	ok
1247	11822.3	588	590	2	ok
1248	11839.0	588	590	2	ok
1249	11855.7	588	590	2	ok
1250	11872.3	588	590	2	ok
1251	11889.0	588	590	2	ok
1252	11905.7	588	590	2	ok
1253	11922.3	588	590	2	ok
1254	11939.0	588	590	2	ok
1255	11955.7	588	590	2	ok
1256	11972.3	588	590	2	ok
1257	11989.0	588	590	2	ok
1258	12005.7	588	590	2	ok
1259	12022.3	588	590	2	ok
1260	12039.0	588	590	2	ok
1261	12055.7	588	590	2	ok
1262	12072.3	588	590	2	ok
1263	12089.0	588	590	2	ok
1264	12105.7	588	590	2	ok
1265	12122.3	588	590	2	ok
1266	12139.0	588	590	2	ok
1267	12155.7	588	590	2	ok
1268	12172.3	588	590	2	ok
1269	12189.0	588	590	2	ok
1270	12205.7	588	590	2	ok
1271	12222.3	588	590	2	ok
1272	12239.0	588	590	2	ok
1273	12255.7	588	590	2	ok
1274	12272.3	588	590	2	ok
1275	12289.0	588	590	2	ok
1276	12305.7	588	590	2	ok
1277	12322.3	588	590	2	ok
1278	12339.0	588	590	2	ok
1279	12355.7	588	590	2	ok
1280	12372.3	588	590	2	ok
1281	12389.0	588	590	2	ok
1282	12405.7	588	590	2	ok
1283	12422.3	588	590	2	ok
1284	12439.0	588	590	2	ok
1285	12455.7	588	590	2	ok
1286	12472.3	588	590	2	ok
1287	12489.0	588	590	2	ok
1288	12505.7	588	590	2	ok
1289	12522.3	588	590	2	ok
1290	12539.0	588	590	2	ok
1291	12555.7	588	590	2	ok
1292	12572.3	588	590	2	ok
1293	12589.0	588	590	2	ok
1294	12605.7	588	590	2	ok
1295	12622.3	588	590	2	ok
1296	12639.0	588	590	2	ok
1297	12655.7	588	590	2	ok
1298	12672.3	588	590	2	ok
1299	12689.0	588	590	2	ok
1300	12705.7	588	590	2	ok
1301	12722.3	588	590	2	ok
1302	12739.0	588	590	2	ok
1303	12755.7	588	590	2	ok
1304	12772.3	588	590	2	ok
1305	12789.0	588	590	2	ok
1306	12805.7	588	590	2	ok
1307	12822.3	588	590	2	ok
1308	12839.0	588	590	2	ok
1309	12855.7	588	590	2	ok
1310	12872.3	588	590	2	ok
1311	12889.0	588	590	2	ok
1312	12905.7	588	590	2	ok
1313	12922.3	588	590	2	ok
1314	12939.0	588	590	2	ok
1315	12955.7	588	590	2	ok
1316	12972.3	588	590	2	ok
1317	12989.0	588	590	2	ok
1318	13005.7	588	590	2	ok
1319	13022.3	588	590	2	ok
1320	13039.0	588	590	2	ok
1321	13055.7	588	590	2	ok
1322	13072.3	588	590	2	ok
1323	13089.0	588	590	2	ok
1324	13105.7	588	590	2	ok
1325	13122.3	588	590	2	ok
1326	13139.0	588	590	2	ok
1327	13155.7	588	590	2	ok
1328	13172.3	588	590	2	ok
1329	13189.0	588	590	2	ok
1330	13205.7	588	590	2	ok
1331	13222.3	588	590	2	ok
1332	13239.0	588	590	2	ok
1333	13255.7	588	590	2	ok
1334	13272.3	588	590	2	ok
1335	13289.0	588	590	2	ok
1336	13305.7	588	590	2	ok
1337	13322.3	588	590	2	ok
1338	13339.0	588	590	2	ok
1339	13355.7	588	590	2	ok
1340	13372.3	588	590	2	ok
1341	13389.0	588	590	2	ok
1342	13405.7	588	590	2	ok
1343	13422.3	588	590	2	ok
1344	13439.0	588	590	2	ok
1345	13455.7	588	590	2	ok
1346	13472.3	588	590	2	ok
1347	13489.0	588	590	2	ok
1348	13505.7	588	590	2	ok
1349	13522.3	588	590	2	ok
1350	13539.0	588	590	2	ok
1351	13555.7	588	590	2	ok
1352	13572.3	588	590	2	ok
1353	13589.0	588	590	2	ok
1354	13605.7	588	590	2	ok
1355	13622.3	588	590	2	ok
1356	13639.0	588	590	2	ok
1357	13655.7	588	590	2	ok
1358	13672.3	588	590	2	ok
1359	13689.0	588	590	2	ok
1360	13705.7	588	590	2	ok
1361	13722.3	588	590	2	ok
1362	13739.0	588	590	2	ok
1363	13755.7	588	590	2	ok
1364	13772.3	588	590	2	ok
1365	13789.0	588	590	2	ok
1366	13805.7	588	590	2	ok
1367	13822.3	588	590	2	ok
1368	13839.0	588	590	2	ok
1369	13855.7	588	590	2	ok
1370	13872.3	588	590	2	ok
1371	13889.0	588	590	2	ok
1372	13905.7	588	590	2	ok
1373	13922.3	588	590	2	ok
1374	13939.0	588	590	2	ok
1375	13955.7	588	590	2	ok
1376	13972.3	588	590	2	ok
1377	13989.0	588	590	2	ok
1378	14005.7	588	590	2	ok
1379	14022.3	588	590	2	ok
1380	14039.0	588	590	2	ok
1381	14055.7	588	590	2	ok
1382	14072.3	588	590	2	ok
1383	14089.0	588	590	2	ok
1384	14105.7	588	590	2	ok
1385	14122.3	588	590	2	ok
1386	14139.0	588	590	2	ok
1387	14155.7	588	590	2	ok
1388	14172.3	588	590	2	ok
1389	14189.0	588	590	2	ok
1390	14205.7	588	590	2	ok
1391	14222.3	588	590	2	ok
1392	14239.0	588	590	2	ok
1393	14255.7	588	590	2	ok
1394	14272.3	588	590	2	ok
1395	14289.0	588	590	2	ok
1396	14305.7	588	590	2	ok
1397	14322.3	588	590	2	ok
1398	14339.0	588	590	2	ok
1399	14355.7	588	590	2	ok
1400	14372.3	588	590	2	ok
1401	14389.0	588	590	2	ok
1402	14405.7	588	590	2	ok
1403	14422.3	588	590	2	ok
1404	14439.0	588	590	2	ok
1405	14455.7	588	590	2	ok
1406	14472.3	588	590	2	ok
1407	14489.0	588	590	2	ok
1408	14505.7	588	590	2	ok
1409	14522.3	588	590	2	ok
1410	14539.0	588	590	2	ok
1411	14555.7	588	590	2	ok
1412	14572.3	588	590	2	ok
1413	14589.0	588	590	2	ok
1414	14605.7	588	590	2	ok
1415	14622.3	588	590	2	ok
1416	14639.0	588	590	2	ok
1417	14655.7	588	590	2	ok
1418	14672.3	588	590	2	ok
1419	14689.0	588	590	2	ok
1420	14705.7	588	590	2	ok
1421	14722.3	588	590	2	ok
1422	14739.0	588	590	2	ok
1423	14755.7	588	590	2	ok
1424	14772.3	588	590	2	ok
1425	14789.0	588	590	2	ok
1426	14805.7	588	590	2	ok
1427	14822.3	588	590	2	ok
1428	14839.0	588	590	2	ok
1429	14855.7	588	590	2	ok
1430	14872.3	588	590	2	ok
1431	14889.0	588	590	2	ok
1432	14905.7	588	590	2	ok
1433	14922.3	588	590	2	ok
1434	14939.0	588	590	2	ok
1435	14955.7	588	590	2	ok
1436	14972.3	588	590	2	ok
1437	14989.0	588	590	2	ok
1438	15005.7	588	590	2	ok
1439	15022.3	588	590	2	ok
1440	15039.0	588	590	2	ok
1441	15055.7	588	590	2	ok
1442	15072.3	588	590	2	ok
1443	15089.0	588	590	2	ok
1444	15105.7	588	590	2	ok
1445	15122.3	588	590	2	ok
1446	15139.0	588	590	2	ok
1447	15155.7	588	590	2	ok
1448	15172.3	588	590	2	ok
1449	15189.0	588	590	2	ok
1450	15205.7	588	590	2	ok
1451	15222.3	588	590	2	ok
1452	15239.0	588	590	2	ok
1453	15255.7	588	590	2	ok
1454	15272.3	588	590	2	ok
1455	15289.0	588	590	2	ok
1456	15305.7	588	590	2	ok
1457	15322.3	588	590	2	ok
1458	15339.0	588	590	2	ok
1459	15355.7	588	590	2	ok
1460	15372.3	588	590	2	ok
1461	15389.0	588	590	2	ok
1462	15405.7	588	590	2	ok
1463	15422.3	588	590	2	ok
1464	15439.0	588	590	2	ok
1465	15455.7	588	590	2	ok
1466	15472.3	588	590	2	ok
1467	15489.0	588	590	2	ok
1468	15505.7	588	590	2	ok
1469	15522.3	588	590	2	ok
1470	15539.0	588	590	2	ok
1471	15555.7	588	590	2	ok
1472	15572.3	588	590	2	ok
1473	15589.0	588	590	2	ok
1474	15605.7	588	590	2	ok
1475	15622.3	588	590	2	ok
1476	15639.0	588	590	2	ok
1477	15655.7	588	590	2	ok
1478	15672.3	588	590	2	ok
1479	15689.0	588	590	2	ok
1480	15705.7	588	590	2	ok
1481	15722.3	588	590	2	ok
1482	15739.0	588	590	2	ok
1483	15755.7	588	590	2	ok
1484	15772.3	588	590	2	ok
1485	15789.0	588	590	2	ok
1486	15805.7	588	590	2	ok
1487	15822.3	588	590	2	ok
1488	15839.0	588	590	2	ok
1489	15855.7	588	590	2	ok
1490	15872.3	588	590	2	ok
1491	15889.0	588	590	2	ok
1492	15905.7	588	590	2	ok
1493	15922.3	588	590	2	ok
1494	15939.0	588	590	2	ok
1495	15955.7	588	590	2	ok
1496	15972.3	588	590	2	ok
1497	15989.0	588	590	2	ok
1498	16005.7	588	590	2	ok
1499	16022.3	588	590	2	ok
1500	16039.0	588	590	2	ok
1501	16055.7	588	590	2	ok
1502	16072.3	588	590	2	ok
1503	16089.0	588	590	2	ok
1504	16105.7	588	590	2	ok
1505	16122.3	588	590	2	ok
1506	16139.0	588	590	2	ok
1507	16155.7	588	590	2	ok
1508	16172.3	588	590	2	ok
1509	16189.0	588	590	2	ok
1510	16205.7	588	590	2	ok
1511	16222.3	588	590	2	ok
1512	16239.0	588	590	2	ok
1513	16255.7	588	590	2	ok
1514	16272.3	588	590	2	ok
1515	16289.0	588	590	2	ok
1516	16305.7	588	590	2	ok
1517	16322.3	588	590	2	ok
1518	16339.0	588	590	2	ok
1519	16355.7	588	590	2	ok
1520	16372.3	588	590	2	ok
1521	16389.0	588	590	2	ok
1522	16405.7	588	590	2	ok
1523	16422.3	588	590	2	ok
1524	16439.0	588	590	2	ok
1525	16455.7	588	590	2	ok
1526	16472.3	588	590	2	ok
1527	16489.0	588	590	2	ok
1528	16505.7	588	590	2	ok
1529	16522.3	588	590	2	ok
1530	16539.0	588	590	2	ok
1531	16555.7	588	590	2	ok
1532	16572.3	588	590	2	ok
1533	16589.0	588	590	2	ok
1534	16605.7	588	590	2	ok
1535	16622.3	588	590	2	ok
