# onion skin A3e paint log
# comp	1920	1080
# stale_ms	100.0
t_ms	src_t_ms	tx	ty	sx	have_stale	stale_t_ms	stale_tx	stale_ty	paint_ms
11583.795	11575.284	263.00	101.00	0.500000	1	11475.750	263.00	101.00	1.4623
11598.853	11575.284	263.00	101.00	0.500000	1	11492.301	263.00	101.00	1.6777
11630.229	11609.364	263.00	101.00	0.500000	1	11526.536	263.00	101.00	1.5071
11647.160	11625.572	263.00	101.00	0.500000	1	11542.594	263.00	101.00	1.7207
11678.352	11659.483	263.00	101.00	0.500000	1	11575.284	263.00	101.00	1.5105
11708.754	11692.212	263.00	101.00	0.500000	1	11592.237	263.00	101.00	1.6523
11727.580	11709.170	263.00	101.00	0.500000	1	11625.572	263.00	101.00	1.6012
11755.856	11742.530	263.00	101.00	0.500000	1	11642.617	263.00	101.00	1.4252
11770.635	11758.884	263.00	101.00	0.500000	1	11659.483	263.00	101.00	1.6414
11802.729	11792.107	263.00	101.00	0.500000	1	11692.212	263.00	101.00	1.4432
11834.467	11825.631	263.00	101.00	0.500000	1	11726.025	263.00	101.00	1.4102
11849.667	11825.631	263.00	101.00	0.500000	1	11742.530	263.00	101.00	1.7513
11880.766	11859.255	263.00	101.00	0.500000	1	11775.452	263.00	101.00	1.6296
11896.437	11875.736	263.00	101.00	0.500000	1	11792.107	263.00	101.00	1.4457
11926.900	11909.363	263.00	101.00	0.500000	1	11825.631	263.00	101.00	1.5286
11958.853	11942.533	263.00	101.00	0.500000	1	11842.477	263.00	101.00	1.7002
11972.893	11959.463	263.00	101.00	0.500000	1	11859.255	263.00	101.00	1.5245
12004.879	11992.563	263.00	101.00	0.500000	1	11892.614	263.00	101.00	1.4539
12021.832	12008.919	263.00	101.00	0.500000	1	11909.363	263.00	101.00	1.5385
12051.607	12043.192	263.00	101.00	0.500000	1	11942.533	263.00	101.00	1.9574
12084.666	12075.642	263.00	101.00	0.500000	1	11976.136	263.00	101.00	1.4164
12101.592	12092.121	263.00	101.00	0.500000	1	11992.563	263.00	101.00	1.4211
12133.818	12108.912	263.00	101.00	0.500000	1	12026.374	263.00	101.00	1.5255
12151.145	12142.280	263.00	101.00	0.500000	1	12043.192	263.00	101.00	1.6056
12180.930	12159.011	263.00	101.00	0.500000	1	12075.642	263.00	101.00	1.4792
12212.700	12192.572	263.00	101.00	0.500000	1	12108.912	263.00	101.00	1.5126
12229.457	12209.312	263.00	101.00	0.500000	1	12125.625	263.00	101.00	1.4728
12261.472	12242.314	263.00	101.00	0.500000	1	12159.011	263.00	101.00	1.7394
12270.582	12258.992	263.00	101.00	0.500000	1	12159.011	263.00	101.00	1.7685
12303.887	12292.381	263.00	101.00	0.500000	1	12192.572	263.00	101.00	1.7361
12332.795	12308.939	263.00	101.00	0.500000	1	12225.928	263.00	101.00	1.6278
12353.822	12342.371	263.00	101.00	0.500000	1	12242.314	263.00	101.00	1.5926
12379.761	12358.813	263.00	101.00	0.500000	1	12275.669	263.00	101.00	1.4797
12403.827	12392.338	263.00	101.00	0.500000	1	12292.381	263.00	101.00	1.5935
12426.615	12408.673	263.00	101.00	0.500000	1	12325.626	263.00	101.00	1.5447
12468.655	12458.746	263.00	101.00	0.500000	1	12358.813	263.00	101.00	1.3926
12485.207	12475.475	263.00	101.00	0.500000	1	12375.668	263.00	101.00	1.6195
12516.820	12492.317	263.00	101.00	0.500000	1	12408.673	263.00	101.00	1.5097
12520.462	12508.954	263.00	101.00	0.500000	1	12408.673	263.00	101.00	1.5466
12553.889	12543.129	263.00	101.00	0.500000	1	12442.362	263.00	101.00	2.1227
12587.165	12575.649	263.00	101.00	0.500000	1	12475.475	263.00	101.00	1.9193
